title,link,publication_time,author,image_url,summary
Video: Polisi Rilis Tampang Pembunuh Charlie Kirk,https://20.detik.com/detikupdate/20250913-250913013/video-polisi-rilis-tampang-pembunuh-charlie-kirk,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Butuh Menang Berapa Bapalan Lagi Agar Marc Marquez Bisa Juara MotoGP?,https://sport.detik.com/moto-gp/d-8110038/butuh-menang-berapa-bapalan-lagi-agar-marc-marquez-bisa-juara-motogp,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Video: Kisah Warga Tinggal di Tengah Kebisingan Jalan Raya, Apa Dampaknya?",https://health.detik.com/detiktv/d-8110005/video-kisah-warga-tinggal-di-tengah-kebisingan-jalan-raya-apa-dampaknya,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Dubes RI dan Negara-negara OKI di Rumania Gelar Aksi Kecam Israel,https://news.detik.com/berita/d-8110041/dubes-ri-dan-negara-negara-oki-di-rumania-gelar-aksi-kecam-israel,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Irjen Kemendagri Monitor Langsung Pelaksanaan Siskamling di Surakarta,https://news.detik.com/berita/d-8110040/irjen-kemendagri-monitor-langsung-pelaksanaan-siskamling-di-surakarta,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Bukti Sterling dan Disasi Benar-benar Diasingkan di Chelsea,https://sport.detik.com/sepakbola/liga-inggris/d-8109873/bukti-sterling-dan-disasi-benar-benar-diasingkan-di-chelsea,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"6 Manfaat Pepaya, Sehatkan Jantung hingga Pencernaan",https://health.detik.com/berita-detikhealth/d-8110031/6-manfaat-pepaya-sehatkan-jantung-hingga-pencernaan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Video:  Menyulap Kulit Semangka Jadi Kompos 'Black Gold' di New York,https://20.detik.com/detikupdate/20250913-250913014/video--menyulap-kulit-semangka-jadi-kompos-black-gold-di-new-york,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Palestina Puji Resolusi Majelis Umum PBB: Penting untuk Akhiri Pendudukan,https://news.detik.com/internasional/d-8110026/palestina-puji-resolusi-majelis-umum-pbb-penting-untuk-akhiri-pendudukan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Video: Fakta Ledakan di Pamulang, Buat 7 Orang Terluka-8 Rumah Rusak",https://20.detik.com/detikupdate/20250913-250913011/video-fakta-ledakan-di-pamulang-buat-7-orang-terluka-8-rumah-rusak,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"BMKG Pastikan Gempa M 7,4 Rusia Tak Berdampak ke Indonesia",https://news.detik.com/berita/d-8110019/bmkg-pastikan-gempa-m-7-4-rusia-tak-berdampak-ke-indonesia,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Cerita Perjalanan yang Sejuk di Tengah Panasnya Ta'if,https://travel.detik.com/cerita-perjalanan/d-8109680/cerita-perjalanan-yang-sejuk-di-tengah-panasnya-taif,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Pria Surabaya Aniaya 2 Bocah yang Merawatnya, Istri dan Anak Pertama Kabur",https://news.detik.com/berita/d-8110022/pria-surabaya-aniaya-2-bocah-yang-merawatnya-istri-dan-anak-pertama-kabur,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Kenalin! Mobil Listrik Terbaru Toyota, Ada Sentuhan Huawei dan Xiaomi",https://oto.detik.com/mobil-listrik/d-8110018/kenalin-mobil-listrik-terbaru-toyota-ada-sentuhan-huawei-dan-xiaomi,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
8 Bahan Skincare Terbaik untuk Mature Skin Menurut Dokter Kulit,https://wolipop.detik.com/makeup-and-skincare/d-8110017/8-bahan-skincare-terbaik-untuk-mature-skin-menurut-dokter-kulit,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Yeay! Susan Sameh Umumkan Hamil Anak Pertama dengan Khalid Atamimi,https://hot.detik.com/celeb/d-8109760/yeay-susan-sameh-umumkan-hamil-anak-pertama-dengan-khalid-atamimi,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Pikiran Sering Mentok? Tebak Gambar Ini Bisa Melatih Fokus dan Kecerdasan,https://health.detik.com/asah-otak/d-8109734/pikiran-sering-mentok-tebak-gambar-ini-bisa-melatih-fokus-dan-kecerdasan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Jadwal MPL ID S16 Week 4 Hari Ini: RRQ Hoshi Vs Evos,https://inet.detik.com/esport/d-8109941/jadwal-mpl-id-s16-week-4-hari-ini-rrq-hoshi-vs-evos,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Pajak Karyawan Hotel, Restoran, dan Kafe Bakal Ditanggung Negara",https://finance.detik.com/foto-bisnis/d-8109384/pajak-karyawan-hotel-restoran-dan-kafe-bakal-ditanggung-negara,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Catat! Daftar Konser Musik Gratis Akhir Pekan Ini,https://www.detik.com/pop/music/d-8109348/catat-daftar-konser-musik-gratis-akhir-pekan-ini,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Himar, Kopi Unik Beraroma dan Citarasa Mirip Wine Asal Garut",https://food.detik.com/berita-boga/d-8109650/himar-kopi-unik-beraroma-dan-citarasa-mirip-wine-asal-garut,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Nggak Perlu Ribet! Cara Ampuh Bersihkan Kloset Cuma Butuh 2 Bahan,https://www.detik.com/properti/tips-dan-panduan/d-8109711/nggak-perlu-ribet-cara-ampuh-bersihkan-kloset-cuma-butuh-2-bahan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Niat Tayamum dan Caranya Sesuai Sunnah,https://www.detik.com/hikmah/khazanah/d-8109492/niat-tayamum-dan-caranya-sesuai-sunnah,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Anthony Martial Kini Setim sama Sergio Ramos,https://sport.detik.com/sepakbola/bola-dunia/d-8109967/anthony-martial-kini-setim-sama-sergio-ramos,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Polisi Tangkap 4 Remaja Hendak Tawuran di Bogor, Celurit Disita",https://news.detik.com/berita/d-8110010/polisi-tangkap-4-remaja-hendak-tawuran-di-bogor-celurit-disita,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Musim Hujan 2025 Diprediksi Datang Lebih Awal, Ini Penjelasan BMKG",https://news.detik.com/berita/d-8110007/musim-hujan-2025-diprediksi-datang-lebih-awal-ini-penjelasan-bmkg,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
