title,link,publication_time,author,image_url,summary
Mensos Ajak Kadinsos Se-DIY & Jateng Dukung Penyelenggaraan Sekolah Rakyat,https://news.detik.com/berita/d-8103995/mensos-ajak-kadinsos-se-diy-jateng-dukung-penyelenggaraan-sekolah-rakyat,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Andra Soni: Banten dan Lampung Layak Jadi Tuan Rumah PON 2032,https://news.detik.com/berita/d-8103996/andra-soni-banten-dan-lampung-layak-jadi-tuan-rumah-pon-2032,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Anisa Bahar Tiba-tiba Ngaku Sudah Menikah, Sama Siapa?",https://hot.detik.com/celeb/d-8103366/anisa-bahar-tiba-tiba-ngaku-sudah-menikah-sama-siapa,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"BIS Belum Bisa Diisi 30 Ribu Penonton, Pemprov Banten Ungkap Penyebabnya",https://news.detik.com/berita/d-8103993/bis-belum-bisa-diisi-30-ribu-penonton-pemprov-banten-ungkap-penyebabnya,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Kopenhagen Jadi Peringkat Pertama Kota Paling Ramah Pesepeda di Eropa,https://travel.detik.com/travel-news/d-8103640/kopenhagen-jadi-peringkat-pertama-kota-paling-ramah-pesepeda-di-eropa,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Perkuat Nilai Spiritual, Pegadaian Safari Dakwah Bareng Aa Gym",https://news.detik.com/berita/d-8103992/perkuat-nilai-spiritual-pegadaian-safari-dakwah-bareng-aa-gym,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"2 Maling Dibekuk Polresta Bogor, Target 5 Motor Sehari-Beraksi di 300 TKP",https://news.detik.com/berita/d-8103990/2-maling-dibekuk-polresta-bogor-target-5-motor-sehari-beraksi-di-300-tkp,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Daftar Harga Motor Matic Suzuki September 2025,https://oto.detik.com/motor/d-8103754/daftar-harga-motor-matic-suzuki-september-2025,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"5 Hal yang Bikin Bon Appetit, Your Majesty Wajib Ditonton!",https://www.detik.com/pop/korean-wave/d-8103302/5-hal-yang-bikin-bon-appetit-your-majesty-wajib-ditonton,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Menaker Bicara Agroforestri Tunjang Ekonomi Keluarga Tanpa Rusak Hutan,https://news.detik.com/berita/d-8103983/menaker-bicara-agroforestri-tunjang-ekonomi-keluarga-tanpa-rusak-hutan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Video SPBU Swasta Diarahkan Beli BBM Pertamina, Bahlil: Bukan Soal Persaingan",https://20.detik.com/detikupdate/20250909-250909076/video-spbu-swasta-diarahkan-beli-bbm-pertamina-bahlil-bukan-soal-persaingan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Gaya Sandara Park 2NE1 Jadi Turis Bali, Manggung di Waterbomb Tanpa Park Bom",https://wolipop.detik.com/celeb-style/d-8103574/gaya-sandara-park-2ne1-jadi-turis-bali-manggung-di-waterbomb-tanpa-park-bom,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Demo Memanas di Kathmandu, Warga Protes Pembunuhan 19 Orang",https://news.detik.com/foto-news/d-8102874/demo-memanas-di-kathmandu-warga-protes-pembunuhan-19-orang,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Inggris Siap Hadapi Teror Fans Serbia yang Rasis,https://sport.detik.com/sepakbola/bola-dunia/d-8103354/inggris-siap-hadapi-teror-fans-serbia-yang-rasis,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Harapan Pengusaha ke Menkeu Baru: Ada Kebijakan Fiskal Pro-Growth,https://finance.detik.com/berita-ekonomi-bisnis/d-8103851/harapan-pengusaha-ke-menkeu-baru-ada-kebijakan-fiskal-pro-growth,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Pelanggan Kabur Usai Tahu Harga Kwetiaunya Rp 230.000,https://food.detik.com/info-kuliner/d-8103148/pelanggan-kabur-usai-tahu-harga-kwetiaunya-rp-230-000,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Video Alasan Mahasiswa Geruduk DPR: Banyak Tuntutan Masih Nol Besar,https://20.detik.com/detikupdate/20250909-250909074/video-alasan-mahasiswa-geruduk-dpr-banyak-tuntutan-masih-nol-besar,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Menkum Bicara Peluang Dwi Kewarganegaraan Diatur Undang-Undang,https://news.detik.com/berita/d-8103969/menkum-bicara-peluang-dwi-kewarganegaraan-diatur-undang-undang,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Alex Marquez Akan Tunggangi GP26 di Musim Depan?,https://sport.detik.com/moto-gp/d-8103522/alex-marquez-akan-tunggangi-gp26-di-musim-depan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Prabowo Minta Bahlil Hitung Sumber Daya Mineral RI, Ini Tujuannya",https://finance.detik.com/energi/d-8103890/prabowo-minta-bahlil-hitung-sumber-daya-mineral-ri-ini-tujuannya,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Dua 'Dinosaurus' Pecahkan Suasana Demo Mahasiswa di DPR,https://news.detik.com/foto-news/d-8103944/dua-dinosaurus-pecahkan-suasana-demo-mahasiswa-di-dpr,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Menteri Imipas Akan Jadikan Ketahanan Pangan Indikator Penilaian Kalapas-Karutan,https://news.detik.com/berita/d-8103932/menteri-imipas-akan-jadikan-ketahanan-pangan-indikator-penilaian-kalapas-karutan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Selundupkan Narkoba Termahal Kedua di RI, Bule Ukraina Ditangkap di Bandara Bali",https://travel.detik.com/travel-news/d-8103812/selundupkan-narkoba-termahal-kedua-di-ri-bule-ukraina-ditangkap-di-bandara-bali,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Delpedro Yakin Tidak Bersalah, Harapkan Restorative Justice",https://news.detik.com/berita/d-8103926/delpedro-yakin-tidak-bersalah-harapkan-restorative-justice,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Berlatih Menjadi Pemimpin,https://news.detik.com/kolom/d-8103925/berlatih-menjadi-pemimpin,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Koleksi Mobil Menteri Koperasi Ferry Juliantono yang Gantikan Budi Arie,https://oto.detik.com/berita/d-8103729/koleksi-mobil-menteri-koperasi-ferry-juliantono-yang-gantikan-budi-arie,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Sesungguhnya Amal Tergantung pada Niat, Ini Haditsnya",https://www.detik.com/hikmah/doa-dan-hadits/d-8103923/sesungguhnya-amal-tergantung-pada-niat-ini-haditsnya,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Video: Menhan Sjafrie Sjamsoeddin Jadi Menko Polkam Ad Interim,https://20.detik.com/detikupdate/20250909-250909075/video-menhan-sjafrie-sjamsoeddin-jadi-menko-polkam-ad-interim,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Airlangga Ungkap Kabar Terbaru soal Impor Migas dan Pesawat Boeing dari AS,https://finance.detik.com/berita-ekonomi-bisnis/d-8103822/airlangga-ungkap-kabar-terbaru-soal-impor-migas-dan-pesawat-boeing-dari-as,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
DPR Terima Audiensi Serikat Pekerja Transportasi Bahas Perlindungan Pekerja Platform,https://news.detik.com/foto-news/d-8103767/dpr-terima-audiensi-serikat-pekerja-transportasi-bahas-perlindungan-pekerja-platform,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Penampakan Danau Penuh Kerangka Misterius, Ilmuwan Bingung",https://inet.detik.com/fotoinet/d-8103559/penampakan-danau-penuh-kerangka-misterius-ilmuwan-bingung,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Aksi Dokter Swiss Mogok Makan, Desak Pemerintah Bersikap Tegas soal Gaza",https://health.detik.com/fotohealth/d-8103170/aksi-dokter-swiss-mogok-makan-desak-pemerintah-bersikap-tegas-soal-gaza,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/visual/2025/09/09/aksi-dokter-swiss-mogok-makan-desak-pemerintah-bersikap-tegas-soal-gaza-1757399725770_43.jpeg?w=250&q=90,Tidak ada ringkasan
"Beby Istri Onadio Lahirkan Bayi Perempuan, Namanya Janeera Deluca Leonardo Wage",https://hot.detik.com/celeb/d-8102925/beby-istri-onadio-lahirkan-bayi-perempuan-namanya-janeera-deluca-leonardo-wage,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/visual/2025/09/09/onadio-leonardo-dan-beby-1757391848565_43.jpeg?w=250&q=90,Tidak ada ringkasan
"Yamaha Aerox Terbaru Meluncur, Segini Harganya",https://oto.detik.com/motor/d-8103757/yamaha-aerox-terbaru-meluncur-segini-harganya,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/visual/2025/09/09/yamaha-aerox-terbaru-1757406881067_43.jpeg?w=250&q=90,Tidak ada ringkasan
Luna Maya dan Maxime Bouttier Bakal Jalani Program Hamil Tahun Depan,https://hot.detik.com/celeb/d-8101861/luna-maya-dan-maxime-bouttier-bakal-jalani-program-hamil-tahun-depan,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/visual/2025/08/26/luna-maya-1756200115885_43.jpeg?w=250&q=90,Tidak ada ringkasan
Dari Medsos ke Massa: Jejak Provokator Penjarahan Rumah Pejabat,https://news.detik.com/spotlight/d-8103893/dari-medsos-ke-massa-jejak-provokator-penjarahan-rumah-pejabat,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/visual/2025/09/09/ilustrasi-penjarah-di-rumah-ahmad-sahroni-1757415669331_43.jpeg?w=250&q=90,Tidak ada ringkasan
reshuffle,https://www.detik.com/tag/reshuffle,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
nadiem makarim,https://www.detik.com/tag/nadiem-makarim,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
affan kurniawan,https://www.detik.com/tag/affan-kurniawan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
prabowo,https://www.detik.com/tag/prabowo,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
dpr,https://www.detik.com/tag/dpr,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Menkeu Purbaya Minta Maaf Bilang Tuntutan 17+8 'Suara Sebagian Kecil Rakyat',https://news.detik.com/berita/d-8103734/menkeu-purbaya-minta-maaf-bilang-tuntutan-17-8-suara-sebagian-kecil-rakyat,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Sopir Bank Beli Rumah untuk Sembunyi Usai Gondol Rp 10 M, Ini Penampakannya",https://news.detik.com/berita/d-8103887/sopir-bank-beli-rumah-untuk-sembunyi-usai-gondol-rp-10-m-ini-penampakannya,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Perwakilan Massa Mahasiswa Tanggapi Pernyataan Menkeu soal Tuntutan 17+8,https://news.detik.com/berita/d-8103823/perwakilan-massa-mahasiswa-tanggapi-pernyataan-menkeu-soal-tuntutan-17-8,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Susunan Pemain Indonesia Vs Korsel di Kualifikasi Piala Asia U-23,https://sport.detik.com/sepakbola/liga-indonesia/d-8103943/susunan-pemain-indonesia-vs-korsel-di-kualifikasi-piala-asia-u-23,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Istri Sopir Bank Kaget Suaminya Nekat Bawa Kabur Rp 10 Miliar,https://news.detik.com/berita/d-8103828/istri-sopir-bank-kaget-suaminya-nekat-bawa-kabur-rp-10-miliar,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
BPS: Kesejahteraan Petani Meningkat Bulan Agustus 2025,https://finance.detik.com/berita-ekonomi-bisnis/d-8091939/bps-kesejahteraan-petani-meningkat-bulan-agustus-2025,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Menlu AS: Tidak Akan Ada Negara Palestina!,https://news.detik.com/internasional/d-8097164/menlu-as-tidak-akan-ada-negara-palestina,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Operasi Pasar Mentan & Mendagri Sukses Turunkan Harga Beras Secara Drastis,https://finance.detik.com/berita-ekonomi-bisnis/d-8102070/operasi-pasar-mentan-mendagri-sukses-turunkan-harga-beras-secara-drastis,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
